id,Dest,Dest_lon,Dest_lat,Origin,Origin_lon,Origin_lat
0,LAS,-115.143,36.0806,RNO,-119.776,39.5064
1,LAX,-118.391,33.9456,RNO,-119.776,39.5064
2,MDW,-87.7416,41.7875,RNO,-119.776,39.5064
3,OAK,-122.209,37.7158,RNO,-119.776,39.5064
4,PDX,-122.587,45.5867,RNO,-119.776,39.5064
5,PHX,-112.03,33.4376,RNO,-119.776,39.5064
6,SAN,-117.195,32.7299,RNO,-119.776,39.5064
7,SEA,-122.296,47.4405,RNO,-119.776,39.5064
8,SJC,-121.926,37.3679,RNO,-119.776,39.5064
9,SLC,-111.982,40.7862,RNO,-119.776,39.5064
10,BWI,-76.6745,39.1841,RSW,-81.7531,26.5228
11,ISP,-73.0984,40.7891,RSW,-81.7531,26.5228
12,MCO,-81.3115,28.4418,RSW,-81.7531,26.5228
13,MDW,-87.7416,41.7875,RSW,-81.7531,26.5228
14,PHL,-75.2419,39.8768,RSW,-81.7531,26.5228
15,ABQ,-106.625,35.0494,SAN,-117.195,32.7299
16,AUS,-97.6653,30.2027,SAN,-117.195,32.7299
17,BNA,-86.6682,36.1342,SAN,-117.195,32.7299
18,BWI,-76.6745,39.1841,SAN,-117.195,32.7299
19,ELP,-106.393,31.7982,SAN,-117.195,32.7299
20,HOU,-95.2795,29.6572,SAN,-117.195,32.7299
21,LAS,-115.143,36.0806,SAN,-117.195,32.7299
22,MCI,-94.7171,39.2992,SAN,-117.195,32.7299
23,MDW,-87.7416,41.7875,SAN,-117.195,32.7299
24,OAK,-122.209,37.7158,SAN,-117.195,32.7299
25,PHX,-112.03,33.4376,SAN,-117.195,32.7299
26,SAT,-98.4729,29.5252,SAN,-117.195,32.7299
27,SFO,-122.392,37.6148,SAN,-117.195,32.7299
28,SJC,-121.926,37.3679,SAN,-117.195,32.7299
29,SMF,-121.591,38.683,SAN,-117.195,32.7299
30,TUS,-110.936,32.1204,SAN,-117.195,32.7299
31,BNA,-86.6682,36.1342,SAT,-98.4729,29.5252
32,BWI,-76.6745,39.1841,SAT,-98.4729,29.5252
33,DAL,-96.8496,32.8439,SAT,-98.4729,29.5252
34,ELP,-106.393,31.7982,SAT,-98.4729,29.5252
35,HOU,-95.2795,29.6572,SAT,-98.4729,29.5252
36,HRL,-97.663,26.2216,SAT,-98.4729,29.5252
37,LAS,-115.143,36.0806,SAT,-98.4729,29.5252
38,LAX,-118.391,33.9456,SAT,-98.4729,29.5252
39,MCO,-81.3115,28.4418,SAT,-98.4729,29.5252
40,MDW,-87.7416,41.7875,SAT,-98.4729,29.5252
41,PHX,-112.03,33.4376,SAT,-98.4729,29.5252
42,TPA,-82.5356,27.9744,SAT,-98.4729,29.5252
43,BHM,-86.7492,33.5604,SDF,-85.7462,38.1865
44,BWI,-76.6745,39.1841,SDF,-85.7462,38.1865
45,LAS,-115.143,36.0806,SDF,-85.7462,38.1865
46,MCO,-81.3115,28.4418,SDF,-85.7462,38.1865
47,MDW,-87.7416,41.7875,SDF,-85.7462,38.1865
48,PHX,-112.03,33.4376,SDF,-85.7462,38.1865
49,STL,-90.3647,38.7414,SDF,-85.7462,38.1865
50,TPA,-82.5356,27.9744,SDF,-85.7462,38.1865
51,ABQ,-106.625,35.0494,SEA,-122.296,47.4405
52,BNA,-86.6682,36.1342,SEA,-122.296,47.4405
53,BOI,-116.222,43.5709,SEA,-122.296,47.4405
54,DEN,-104.672,39.8396,SEA,-122.296,47.4405
55,GEG,-117.538,47.625,SEA,-122.296,47.4405
56,LAS,-115.143,36.0806,SEA,-122.296,47.4405
57,MCI,-94.7171,39.2992,SEA,-122.296,47.4405
58,MDW,-87.7416,41.7875,SEA,-122.296,47.4405
59,OAK,-122.209,37.7158,SEA,-122.296,47.4405
60,PHX,-112.03,33.4376,SEA,-122.296,47.4405
61,SJC,-121.926,37.3679,SEA,-122.296,47.4405
62,SLC,-111.982,40.7862,SEA,-122.296,47.4405
63,SMF,-121.591,38.683,SEA,-122.296,47.4405
64,LAS,-115.143,36.0806,SFO,-122.392,37.6148
65,LAX,-118.391,33.9456,SFO,-122.392,37.6148
66,MDW,-87.7416,41.7875,SFO,-122.392,37.6148
67,BUR,-118.352,34.1963,SJC,-121.926,37.3679
68,LAS,-115.143,36.0806,SJC,-121.926,37.3679
69,LAX,-118.391,33.9456,SJC,-121.926,37.3679
70,MDW,-87.7416,41.7875,SJC,-121.926,37.3679
71,ONT,-117.594,34.062,SJC,-121.926,37.3679
72,PDX,-122.587,45.5867,SJC,-121.926,37.3679
73,PHX,-112.03,33.4376,SJC,-121.926,37.3679
74,SNA,-117.859,33.6813,SJC,-121.926,37.3679
75,ABQ,-106.625,35.0494,SLC,-111.982,40.7862
76,BOI,-116.222,43.5709,SLC,-111.982,40.7862
77,BWI,-76.6745,39.1841,SLC,-111.982,40.7862
78,DEN,-104.672,39.8396,SLC,-111.982,40.7862
79,GEG,-117.538,47.625,SLC,-111.982,40.7862
80,LAS,-115.143,36.0806,SLC,-111.982,40.7862
81,LAX,-118.391,33.9456,SLC,-111.982,40.7862
82,MDW,-87.7416,41.7875,SLC,-111.982,40.7862
83,OAK,-122.209,37.7158,SLC,-111.982,40.7862
84,PDX,-122.587,45.5867,SLC,-111.982,40.7862
85,PHX,-112.03,33.4376,SLC,-111.982,40.7862
86,STL,-90.3647,38.7414,SLC,-111.982,40.7862
87,BUR,-118.352,34.1963,SMF,-121.591,38.683
88,LAS,-115.143,36.0806,SMF,-121.591,38.683
89,LAX,-118.391,33.9456,SMF,-121.591,38.683
90,MCI,-94.7171,39.2992,SMF,-121.591,38.683
91,MDW,-87.7416,41.7875,SMF,-121.591,38.683
92,ONT,-117.594,34.062,SMF,-121.591,38.683
93,PDX,-122.587,45.5867,SMF,-121.591,38.683
94,PHX,-112.03,33.4376,SMF,-121.591,38.683
95,SNA,-117.859,33.6813,SMF,-121.591,38.683
96,LAS,-115.143,36.0806,SNA,-117.859,33.6813
97,OAK,-122.209,37.7158,SNA,-117.859,33.6813
98,PHX,-112.03,33.4376,SNA,-117.859,33.6813
99,ABQ,-106.625,35.0494,STL,-90.3647,38.7414
100,BHM,-86.7492,33.5604,STL,-90.3647,38.7414
101,BWI,-76.6745,39.1841,STL,-90.3647,38.7414
102,CLE,-81.8339,41.4115,STL,-90.3647,38.7414
103,CMH,-82.8877,39.9974,STL,-90.3647,38.7414
104,DAL,-96.8496,32.8439,STL,-90.3647,38.7414
105,DTW,-83.3412,42.2327,STL,-90.3647,38.7414
106,FLL,-80.1354,26.0722,STL,-90.3647,38.7414
107,HOU,-95.2795,29.6572,STL,-90.3647,38.7414
108,LAS,-115.143,36.0806,STL,-90.3647,38.7414
109,LAX,-118.391,33.9456,STL,-90.3647,38.7414
110,LIT,-92.219,34.7278,STL,-90.3647,38.7414
111,MCI,-94.7171,39.2992,STL,-90.3647,38.7414
112,MCO,-81.3115,28.4418,STL,-90.3647,38.7414
113,MDW,-87.7416,41.7875,STL,-90.3647,38.7414
114,OKC,-97.5974,35.3981,STL,-90.3647,38.7414
115,OMA,-95.8998,41.3,STL,-90.3647,38.7414
116,PHX,-112.03,33.4376,STL,-90.3647,38.7414
117,TPA,-82.5356,27.9744,STL,-90.3647,38.7414
118,TUL,-95.8892,36.1877,STL,-90.3647,38.7414
119,ABQ,-106.625,35.0494,TPA,-82.5356,27.9744
120,ALB,-73.809,42.7426,TPA,-82.5356,27.9744
121,AUS,-97.6653,30.2027,TPA,-82.5356,27.9744
122,BDL,-72.6816,41.9271,TPA,-82.5356,27.9744
123,BHM,-86.7492,33.5604,TPA,-82.5356,27.9744
124,BNA,-86.6682,36.1342,TPA,-82.5356,27.9744
125,BUF,-78.738,42.9309,TPA,-82.5356,27.9744
126,BWI,-76.6745,39.1841,TPA,-82.5356,27.9744
127,CMH,-82.8877,39.9974,TPA,-82.5356,27.9744
128,DEN,-104.672,39.8396,TPA,-82.5356,27.9744
129,FLL,-80.1354,26.0722,TPA,-82.5356,27.9744
130,HOU,-95.2795,29.6572,TPA,-82.5356,27.9744
131,IAD,-77.4484,38.9556,TPA,-82.5356,27.9744
132,IND,-86.2707,39.7322,TPA,-82.5356,27.9744
133,ISP,-73.0984,40.7891,TPA,-82.5356,27.9744
134,JAX,-81.676,30.4914,TPA,-82.5356,27.9744
135,LAS,-115.143,36.0806,TPA,-82.5356,27.9744
136,MCI,-94.7171,39.2992,TPA,-82.5356,27.9744
137,MDW,-87.7416,41.7875,TPA,-82.5356,27.9744
138,MHT,-71.4386,42.9293,TPA,-82.5356,27.9744
139,MSY,-90.2569,29.983,TPA,-82.5356,27.9744
140,ORF,-76.2154,36.8977,TPA,-82.5356,27.9744
141,PBI,-80.0889,26.6909,TPA,-82.5356,27.9744
142,PHL,-75.2419,39.8768,TPA,-82.5356,27.9744
143,PHX,-112.03,33.4376,TPA,-82.5356,27.9744
144,PIT,-80.2328,40.4914,TPA,-82.5356,27.9744
