id,Dest,Dest_lon,Dest_lat,Origin,Origin_lon,Origin_lat
0,LAS,-115.143,36.0806,RNO,-119.776,39.5064
1,PHX,-112.03,33.4376,RNO,-119.776,39.5064
2,SAN,-117.195,32.7299,RNO,-119.776,39.5064
3,SEA,-122.296,47.4405,RNO,-119.776,39.5064
4,SJC,-121.926,37.3679,RNO,-119.776,39.5064
5,SLC,-111.982,40.7862,RNO,-119.776,39.5064
6,BNA,-86.6682,36.1342,SAN,-117.195,32.7299
7,BWI,-76.6745,39.1841,SAN,-117.195,32.7299
8,ELP,-106.393,31.7982,SAN,-117.195,32.7299
9,LAS,-115.143,36.0806,SAN,-117.195,32.7299
10,MCI,-94.7171,39.2992,SAN,-117.195,32.7299
11,PHX,-112.03,33.4376,SAN,-117.195,32.7299
12,SJC,-121.926,37.3679,SAN,-117.195,32.7299
13,BNA,-86.6682,36.1342,SEA,-122.296,47.4405
14,GEG,-117.538,47.625,SEA,-122.296,47.4405
15,LAS,-115.143,36.0806,SEA,-122.296,47.4405
16,MCI,-94.7171,39.2992,SEA,-122.296,47.4405
17,PHX,-112.03,33.4376,SEA,-122.296,47.4405
18,SJC,-121.926,37.3679,SEA,-122.296,47.4405
19,SLC,-111.982,40.7862,SEA,-122.296,47.4405
20,LAS,-115.143,36.0806,SJC,-121.926,37.3679
21,PHX,-112.03,33.4376,SJC,-121.926,37.3679
22,BWI,-76.6745,39.1841,SLC,-111.982,40.7862
23,GEG,-117.538,47.625,SLC,-111.982,40.7862
24,LAS,-115.143,36.0806,SLC,-111.982,40.7862
25,PHX,-112.03,33.4376,SLC,-111.982,40.7862
26,LAS,-115.143,36.0806,TUL,-95.8892,36.1877
27,MCI,-94.7171,39.2992,TUL,-95.8892,36.1877
28,PHX,-112.03,33.4376,TUL,-95.8892,36.1877
29,BWI,-76.6745,39.1841,BNA,-86.6682,36.1342
30,CLE,-81.8339,41.4115,BNA,-86.6682,36.1342
31,CMH,-82.8877,39.9974,BNA,-86.6682,36.1342
32,JAX,-81.676,30.4914,BNA,-86.6682,36.1342
33,LAS,-115.143,36.0806,BNA,-86.6682,36.1342
34,MCI,-94.7171,39.2992,BNA,-86.6682,36.1342
35,PHX,-112.03,33.4376,BNA,-86.6682,36.1342
36,CLE,-81.8339,41.4115,BWI,-76.6745,39.1841
37,CMH,-82.8877,39.9974,BWI,-76.6745,39.1841
38,JAX,-81.676,30.4914,BWI,-76.6745,39.1841
39,LAS,-115.143,36.0806,BWI,-76.6745,39.1841
40,LIT,-92.219,34.7278,BWI,-76.6745,39.1841
41,MCI,-94.7171,39.2992,BWI,-76.6745,39.1841
42,ORF,-76.2154,36.8977,BWI,-76.6745,39.1841
43,PBI,-80.0889,26.6909,BWI,-76.6745,39.1841
44,PHX,-112.03,33.4376,BWI,-76.6745,39.1841
45,LAS,-115.143,36.0806,CLE,-81.8339,41.4115
46,LAS,-115.143,36.0806,CMH,-82.8877,39.9974
47,PHX,-112.03,33.4376,CMH,-82.8877,39.9974
48,LAS,-115.143,36.0806,ELP,-106.393,31.7982
49,PHX,-112.03,33.4376,ELP,-106.393,31.7982
50,LAS,-115.143,36.0806,GEG,-117.538,47.625
51,LAS,-115.143,36.0806,IAD,-77.4484,38.9556
52,ORF,-76.2154,36.8977,JAX,-81.676,30.4914
53,LIT,-92.219,34.7278,LAS,-115.143,36.0806
54,MAF,-102.208,31.9361,LAS,-115.143,36.0806
55,MCI,-94.7171,39.2992,LAS,-115.143,36.0806
56,OMA,-95.8998,41.3,LAS,-115.143,36.0806
57,ORF,-76.2154,36.8977,LAS,-115.143,36.0806
58,PHX,-112.03,33.4376,LAS,-115.143,36.0806
59,PHX,-112.03,33.4376,LIT,-92.219,34.7278
60,PHX,-112.03,33.4376,MCI,-94.7171,39.2992
61,PHX,-112.03,33.4376,OMA,-95.8998,41.3
62,MCI,-94.7171,39.2992,CLE,-81.8339,41.4115
63,IAH,-95.3424,29.9784,MEM,-89.9823,35.047
64,DAY,-84.2207,39.8968,IAH,-95.3424,29.9784
65,SLC,-111.982,40.7862,IAH,-95.3424,29.9784
66,IAH,-95.3424,29.9784,IAD,-77.4484,38.9556
67,IAH,-95.3424,29.9784,BNA,-86.6682,36.1342
68,IAH,-95.3424,29.9784,TUL,-95.8892,36.1877
69,IAH,-95.3424,29.9784,ELP,-106.393,31.7982
70,SAV,-81.2133,32.1338,IAH,-95.3424,29.9784
71,DAY,-84.2207,39.8968,CLE,-81.8339,41.4115
72,IAH,-95.3424,29.9784,MCI,-94.7171,39.2992
73,MAF,-102.208,31.9361,IAH,-95.3424,29.9784
74,IAH,-95.3424,29.9784,CLT,-80.946,35.2226
75,IAH,-95.3424,29.9784,OMA,-95.8998,41.3
76,TYS,-83.9889,35.8064,IAH,-95.3424,29.9784
77,ORF,-76.2154,36.8977,IAH,-95.3424,29.9784
78,IAH,-95.3424,29.9784,PHX,-112.03,33.4376
79,BOS,-71.0281,42.3717,CLE,-81.8339,41.4115
80,PBI,-80.0889,26.6909,IAH,-95.3424,29.9784
81,LIT,-92.219,34.7278,IAH,-95.3424,29.9784
82,IAH,-95.3424,29.9784,CMH,-82.8877,39.9974
83,IAH,-95.3424,29.9784,JAX,-81.676,30.4914
84,GEG,-117.538,47.625,RNO,-119.776,39.5064
85,SAN,-117.195,32.7299,OMA,-95.8998,41.3
86,TUL,-95.8892,36.1877,SAN,-117.195,32.7299
87,GEG,-117.538,47.625,SAN,-117.195,32.7299
88,JAX,-81.676,30.4914,MCI,-94.7171,39.2992
89,MCI,-94.7171,39.2992,SLC,-111.982,40.7862
90,CLE,-81.8339,41.4115,CLT,-80.946,35.2226
91,CLE,-81.8339,41.4115,IAD,-77.4484,38.9556
92,CLE,-81.8339,41.4115,TYS,-83.9889,35.8064
93,CMH,-82.8877,39.9974,CLE,-81.8339,41.4115
94,CLE,-81.8339,41.4115,PBI,-80.0889,26.6909
95,CLT,-80.946,35.2226,BNA,-86.6682,36.1342
96,IAD,-77.4484,38.9556,BNA,-86.6682,36.1342
97,IAD,-77.4484,38.9556,BOS,-71.0281,42.3717
98,CLT,-80.946,35.2226,BWI,-76.6745,39.1841
99,CMH,-82.8877,39.9974,CLT,-80.946,35.2226
100,IAD,-77.4484,38.9556,CLT,-80.946,35.2226
101,MCI,-94.7171,39.2992,CLT,-80.946,35.2226
102,MEM,-89.9823,35.047,CLT,-80.946,35.2226
103,ORF,-76.2154,36.8977,CLT,-80.946,35.2226
