code,id,size,lon,lat
LAS,0,25,-115.143,36.0806
RNO,1,8,-119.776,39.5064
PHX,2,21,-112.03,33.4376
SAN,3,17,-117.195,32.7299
SEA,4,15,-122.296,47.4405
SJC,5,9,-121.926,37.3679
SLC,6,19,-111.982,40.7862
BNA,7,14,-86.6682,36.1342
BWI,8,18,-76.6745,39.1841
ELP,9,5,-106.393,31.7982
MCI,10,15,-94.7171,39.2992
GEG,11,6,-117.538,47.625
TUL,12,7,-95.8892,36.1877
CLE,13,17,-81.8339,41.4115
CMH,14,12,-82.8877,39.9974
JAX,15,9,-81.676,30.4914
LIT,16,6,-92.219,34.7278
ORF,17,7,-76.2154,36.8977
PBI,18,6,-80.0889,26.6909
IAD,19,16,-77.4484,38.9556
MAF,20,2,-102.208,31.9361
OMA,21,8,-95.8998,41.3
IAH,22,27,-95.3424,29.9784
MEM,23,17,-89.9823,35.047
DAY,24,4,-84.2207,39.8968
SAV,25,5,-81.2133,32.1338
CLT,26,20,-80.946,35.2226
TYS,27,3,-83.9889,35.8064
BOS,28,17,-71.0281,42.3717
PWM,29,3,-70.3103,43.6475
