source,target,day
1,0,3
3,2,3
0,1,3
2,3,4
1,0,4
3,2,4
0,1,4
2,3,5
1,0,5
3,2,5
0,1,5
2,3,6
1,0,6
3,2,6
0,1,6
2,3,7
1,0,7
3,2,7
0,1,7
2,3,8
1,0,8
3,2,8
0,1,8
2,3,9
1,0,9
3,2,9
0,1,9
2,3,10
1,0,10
3,2,10
0,1,10
2,3,11
1,0,11
3,2,11
0,1,11
2,3,12
1,0,12
3,2,12
0,1,12
2,3,13
1,0,13
3,2,13
0,1,13
2,3,14
1,0,14
3,2,14
0,1,14
2,3,15
1,0,15
3,2,15
0,1,15
2,3,16
1,0,16
3,2,16
0,1,16
2,3,17
1,0,17
3,2,17
0,1,17
2,3,18
1,0,18
3,2,18
0,1,18
2,3,19
1,0,19
3,2,19
0,1,19
2,3,20
1,0,20
3,2,20
0,1,20
2,3,21
1,0,21
3,2,21
0,1,21
2,3,22
1,0,22
3,2,22
0,1,22
2,3,23
1,0,23
3,2,23
0,1,23
2,3,24
1,0,24
3,2,24
0,1,24
2,3,25
1,0,25
3,2,25
0,1,25
2,3,26
1,0,26
3,2,26
0,1,26
2,3,27
1,0,27
3,2,27
0,1,27
2,3,28
1,0,28
3,2,28
0,1,28
2,3,29
1,0,29
3,2,29
0,1,29
2,3,30
1,0,30
3,2,30
0,1,30
2,3,31
1,0,31
3,2,31
0,1,31
5,4,2
5,6,2
6,5,2
4,5,2
6,5,3
5,4,3
5,6,3
4,5,3
6,5,4
5,4,4
5,6,4
4,5,4
6,5,5
5,4,5
5,6,5
4,5,5
6,5,6
5,6,6
5,4,6
4,5,6
6,5,7
5,4,7
5,6,7
4,5,7
6,5,8
5,4,8
5,6,8
4,5,8
6,5,9
5,4,9
5,6,9
4,5,9
6,5,10
5,4,10
5,6,10
4,5,10
6,5,11
5,4,11
5,6,11
4,5,11
6,5,12
5,4,12
5,6,12
4,5,12
6,5,13
5,6,13
5,4,13
4,5,13
6,5,14
5,4,14
5,6,14
4,5,14
6,5,15
5,4,15
5,6,15
