code,id,lon,lat
LAS,0,-115.143,36.0806
IND,1,-86.2707,39.7322
MCO,2,-81.3115,28.4418
PHX,3,-112.03,33.4376
ISP,4,-73.0984,40.7891
JAN,5,-90.0733,32.3089
DEN,6,-104.672,39.8396
LAX,7,-118.391,33.9456
SLC,8,-111.982,40.7862
LBB,9,-101.821,33.6566
LIT,10,-92.219,34.7278
MAF,11,-102.208,31.9361
MCI,12,-94.7171,39.2992
DTW,13,-83.3412,42.2327
MDW,14,-87.7416,41.7875
MHT,15,-71.4386,42.9293
MSY,16,-90.2569,29.983
OAK,17,-122.209,37.7158
OKC,18,-97.5974,35.3981
OMA,19,-95.8998,41.3
ONT,20,-117.594,34.062
ORF,21,-76.2154,36.8977
PDX,22,-122.587,45.5867
PHL,23,-75.2419,39.8768
PIT,24,-80.2328,40.4914
PVD,25,-71.4399,41.723
RDU,26,-78.7923,35.8729
RNO,27,-119.776,39.5064
RSW,28,-81.7531,26.5228
SAN,29,-117.195,32.7299
SAT,30,-98.4729,29.5252
SDF,31,-85.7462,38.1865
SEA,32,-122.296,47.4405
SFO,33,-122.392,37.6148
SJC,34,-121.926,37.3679
SMF,35,-121.591,38.683
SNA,36,-117.859,33.6813
STL,37,-90.3647,38.7414
TPA,38,-82.5356,27.9744
TUL,39,-95.8892,36.1877
TUS,40,-110.936,32.1204
ABQ,41,-106.625,35.0494
ALB,42,-73.809,42.7426
AMA,43,-101.706,35.2177
AUS,44,-97.6653,30.2027
BDL,45,-72.6816,41.9271
BHM,46,-86.7492,33.5604
BNA,47,-86.6682,36.1342
BOI,48,-116.222,43.5709
BUF,49,-78.738,42.9309
BUR,50,-118.352,34.1963
BWI,51,-76.6745,39.1841
CLE,52,-81.8339,41.4115
CMH,53,-82.8877,39.9974
ELP,54,-106.393,31.7982
FLL,55,-80.1354,26.0722
GEG,56,-117.538,47.625
HOU,57,-95.2795,29.6572
IAD,58,-77.4484,38.9556
EWR,59,-74.1843,40.6924
ROC,60,-77.6697,43.1309
IAH,61,-95.3424,29.9784
DAY,62,-84.2207,39.8968
ORD,63,-87.8825,41.9796
LFT,64,-91.9935,30.2084
CHS,65,-80.0356,32.8838
LCH,66,-93.2198,30.1235
ATL,67,-84.4333,33.6558
CLT,68,-80.946,35.2226
BTR,69,-91.1567,30.533
CRW,70,-81.5951,38.3697
EUG,71,-123.213,44.1184
ICT,72,-97.43,37.6531
MEM,73,-89.9823,35.047
BTV,74,-73.1552,44.4688
GRK,75,-97.8206,31.0615
BRO,76,-97.4321,25.9064
DSM,77,-93.6481,41.5328
BPT,78,-94.0185,29.9551
GPT,79,-89.072,30.4133
MKE,80,-87.9051,42.9471
COS,81,-104.697,38.7829
GRR,82,-85.5307,42.8841
DFW,83,-97.0409,32.9222
PWM,84,-70.3103,43.6475
MSP,85,-93.1987,44.8793
RIC,86,-77.3332,37.5108
CVG,87,-84.6625,39.0571
SAV,88,-81.2133,32.1338
GSO,89,-79.9427,36.1038
CHA,90,-85.1966,35.0373
XNA,91,-94.2955,36.2756
GSP,92,-82.2167,34.8907
JAX,93,-81.676,30.4914
LEX,94,-84.5989,38.0384
